date,PE_RATIO,Fwd_PE_RATIO,5Y_GENERIC,1Y_GENERIC,S&P_500_TR,PE_Yield,Fwd_PE_Yield,FWD_PE_minus_5Y,S&P_500_FORWARD_1_YEAR_GAIN,CPI_YOY,GENERIC_INFLATION_INDEXED_5Y_GOV_BOND,Expected_inflation_5Y
,,,,,,,,,,,,
29/07/2022,20,17,2.7,2.89,8730,5.00%,5.90%,3.30%,,9.1,-0.108,2.79%
,,,,,,,,,,,,
30/06/2022,18,15,3,2.74,7993,5.40%,6.60%,3.50%,,8.6,0.435,2.59%
,,,,,,,,,,,,
31/05/2022,21,17,2.8,2.05,8713,4.80%,6.00%,3.20%,,8.3,-0.124,2.94%
,,,,,,,,,,,,
29/04/2022,21,17,3,2.06,8697,4.80%,6.00%,3.10%,,8.5,-0.391,3.36%
,,,,,,,,,,,,
31/03/2022,23,18,2.5,1.6,9527,4.40%,5.50%,3.00%,,7.9,-0.909,3.40%
,,,,,,,,,,,,
28/02/2022,23,18,1.7,0.98,9186,4.40%,5.60%,3.90%,,7.5,-1.412,3.17%
,,,,,,,,,,,,
31/01/2022,23,19,1.6,0.77,9470,4.30%,5.40%,3.80%,,7,-1.28,2.93%
,,,,,,,,,,,,
31/12/2021,25,21,1.3,0.38,9987,4.10%,4.80%,3.50%,,6.8,-1.652,2.96%
,,,,,,,,,,,,
30/11/2021,25,20,1.2,0.22,9558,4.00%,4.90%,3.80%,,6.2,-1.652,2.86%
,,,,,,,,,,,,
29/10/2021,25,21,1.2,0.12,9625,3.90%,4.80%,3.60%,,5.4,-1.746,2.98%
,,,,,,,,,,,,
30/09/2021,24,20,1,0.07,8995,4.20%,5.10%,4.10%,,5.3,-1.634,2.64%
,,,,,,,,,,,,
31/08/2021,27,21,0.8,0.06,9434,3.70%,4.90%,4.10%,,5.4,-1.777,2.60%
,,,,,,,,,,,,
30/07/2021,26,20,0.7,0.06,9155,3.80%,5.00%,4.30%,-4.60%,5.4,-1.97,2.71%
,,,,,,,,,,,,
30/06/2021,26,20,0.9,0.07,8943,3.80%,4.90%,4.10%,-10.60%,5,-1.635,2.57%
,,,,,,,,,,,,
31/05/2021,29,20,0.8,0.03,8739,3.40%,5.00%,4.20%,-0.30%,4.2,-1.814,2.66%
,,,,,,,,,,,,
30/04/2021,30,20,0.8,0.05,8678,3.40%,5.00%,4.10%,0.20%,2.6,-1.739,2.63%
,,,,,,,,,,,,
31/03/2021,28,20,0.9,0.06,8238,3.50%,5.00%,4.10%,15.60%,1.7,-1.757,2.74%
,,,,,,,,,,,,
26/02/2021,31,19,0.7,0.07,7893,3.30%,5.20%,4.50%,16.40%,1.4,-1.755,2.53%
,,,,,,,,,,,,
29/01/2021,30,19,0.4,0.08,7681,3.30%,5.30%,4.80%,23.30%,1.4,-1.832,2.29%
,,,,,,,,,,,,
31/12/2020,30,22,0.4,0.1,7759,3.30%,4.50%,4.20%,28.70%,1.2,-1.626,2.02%
,,,,,,,,,,,,
30/11/2020,28,21,0.4,0.11,7472,3.60%,4.70%,4.40%,27.90%,1.2,-1.346,1.73%
,,,,,,,,,,,,
30/10/2020,25,19,0.4,0.12,6735,3.90%,5.20%,4.80%,42.90%,1.4,-1.212,1.62%
,,,,,,,,,,,,
30/09/2020,26,20,0.3,0.12,6919,3.80%,5.00%,4.70%,30.00%,1.3,-1.244,1.54%
,,,,,,,,,,,,
31/08/2020,27,21,0.3,0.11,7192,3.80%,4.70%,4.50%,31.20%,1,-1.445,1.74%
,,,,,,,,,,,,
31/07/2020,25,20,0.2,0.11,6710,4.00%,5.10%,4.80%,36.40%,0.6,-1.234,1.46%
,,,,,,,,,,,,
30/06/2020,24,19,0.3,0.15,6352,4.20%,5.20%,4.90%,40.80%,0.1,-0.887,1.19%
,,,,,,,,,,,,
29/05/2020,21,19,0.3,0.16,6228,4.80%,5.30%,5.00%,40.30%,0.3,-0.529,0.84%
,,,,,,,,,,,,
30/04/2020,20,18,0.4,0.14,5945,5.00%,5.60%,5.20%,46.00%,1.5,-0.343,0.71%
,,,,,,,,,,,,
31/03/2020,18,15,0.4,0.15,5269,5.70%,6.90%,6.50%,56.40%,2.3,-0.164,0.54%
,,,,,,,,,,,,
28/02/2020,19,15,0.9,1.01,6012,5.20%,6.50%,5.60%,31.30%,2.5,-0.434,1.38%
,,,,,,,,,,,,
31/01/2020,21,17,1.3,1.42,6551,4.80%,6.00%,4.70%,17.20%,2.3,-0.281,1.60%
,,,,,,,,,,,,
31/12/2019,21,18,1.7,1.57,6554,4.80%,5.60%,3.90%,18.40%,2.1,-0.008,1.70%
,,,,,,,,,,,,
29/11/2019,21,17,1.6,1.59,6362,4.80%,5.70%,4.10%,17.50%,1.8,0.111,1.51%
,,,,,,,,,,,,
31/10/2019,20,17,1.5,1.49,6139,5.00%,6.00%,4.40%,9.70%,1.7,0.069,1.45%
,,,,,,,,,,,,
30/09/2019,20,16,1.5,1.74,6009,5.10%,6.10%,4.60%,15.10%,1.7,0.21,1.33%
,,,,,,,,,,,,
30/08/2019,19,16,1.4,1.76,5898,5.20%,6.20%,4.80%,21.90%,1.8,0.053,1.33%
,,,,,,,,,,,,
31/07/2019,19,16,1.8,1.99,5993,5.10%,6.20%,4.30%,12.00%,1.6,0.285,1.54%
,,,,,,,,,,,,
28/06/2019,19,16,1.8,1.93,5908,5.20%,6.20%,4.50%,7.50%,1.8,0.229,1.53%
,,,,,,,,,,,,
31/05/2019,18,15,1.9,2.2,5519,5.50%,6.70%,4.80%,12.80%,2,0.335,1.57%
,,,,,,,,,,,,
30/04/2019,19,16,2.3,2.37,5894,5.20%,6.30%,4.00%,0.90%,1.9,0.421,1.85%
,,,,,,,,,,,,
29/03/2019,19,15,2.2,2.39,5664,5.40%,6.50%,4.30%,-7.00%,1.5,0.439,1.79%
,,,,,,,,,,,,
28/02/2019,19,15,2.5,2.54,5556,5.40%,6.70%,4.20%,8.20%,1.6,0.652,1.85%
,,,,,,,,,,,,
31/01/2019,18,15,2.4,2.54,5384,5.60%,6.90%,4.50%,21.70%,1.9,0.711,1.71%
,,,,,,,,,,,,
31/12/2018,17,14,2.5,2.6,4984,6.00%,7.00%,4.50%,31.50%,2.2,0.999,1.50%
,,,,,,,,,,,,
30/11/2018,19,16,2.8,2.68,5479,5.40%,6.40%,3.60%,16.10%,2.5,1.052,1.74%
,,,,,,,,,,,,
31/10/2018,18,15,3,2.65,5369,5.40%,6.60%,3.60%,14.30%,2.3,1.062,1.89%
,,,,,,,,,,,,
28/09/2018,20,16,3,2.56,5763,5.00%,6.10%,3.20%,4.30%,2.7,0.913,2.02%
,,,,,,,,,,,,
31/08/2018,21,16,2.7,2.45,5731,4.80%,6.10%,3.40%,2.90%,2.9,0.752,1.97%
,,,,,,,,,,,,
31/07/2018,20,16,2.8,2.41,5550,4.90%,6.30%,3.50%,8.00%,2.9,0.842,1.99%
,,,,,,,,,,,,
29/06/2018,20,15,2.7,2.31,5351,5.10%,6.50%,3.70%,10.40%,2.8,0.659,2.07%
,,,,,,,,,,,,
31/05/2018,20,15,2.7,2.22,5318,4.90%,6.50%,3.80%,3.80%,2.5,0.644,2.04%
,,,,,,,,,,,,
30/04/2018,20,15,2.8,2.23,5193,5.00%,6.60%,3.80%,13.50%,2.4,0.688,2.09%
,,,,,,,,,,,,
30/03/2018,20,15,2.6,2.08,5173,5.00%,6.50%,4.00%,9.50%,2.2,0.471,2.08%
,,,,,,,,,,,,
28/02/2018,22,16,2.6,2.06,5308,4.60%,6.40%,3.70%,4.70%,2.1,0.503,2.13%
,,,,,,,,,,,,
31/01/2018,23,17,2.5,1.88,5511,4.40%,6.00%,3.50%,-2.30%,2.1,0.461,2.04%
,,,,,,,,,,,,
29/12/2017,22,18,2.2,1.73,5213,4.60%,5.60%,3.30%,-4.40%,2.2,0.285,1.92%
,,,,,,,,,,,,
30/11/2017,22,18,2.1,1.61,5155,4.50%,5.50%,3.40%,6.30%,2,0.331,1.80%
,,,,,,,,,,,,
31/10/2017,21,18,2,1.42,5002,4.70%,5.70%,3.70%,7.30%,2.2,0.161,1.85%
,,,,,,,,,,,,
29/09/2017,21,17,1.9,1.29,4888,4.80%,5.80%,3.80%,17.90%,1.9,0.13,1.80%
,,,,,,,,,,,,
31/08/2017,21,17,1.7,1.22,4789,4.80%,5.90%,4.20%,19.70%,1.7,0.044,1.66%
,,,,,,,,,,,,
31/07/2017,21,17,1.8,1.21,4775,4.80%,5.90%,4.00%,16.20%,1.6,0.123,1.71%
,,,,,,,,,,,,
30/06/2017,21,17,1.9,1.23,4678,4.80%,6.00%,4.10%,14.40%,1.9,0.221,1.66%
,,,,,,,,,,,,
31/05/2017,21,17,1.8,1.15,4649,4.80%,6.00%,4.30%,14.40%,2.2,0,1.75%
,,,,,,,,,,,,
28/04/2017,21,16,1.8,1.06,4585,4.80%,6.10%,4.30%,13.30%,2.4,-0.002,1.82%
,,,,,,,,,,,,
31/03/2017,21,16,1.9,1.02,4538,4.80%,6.10%,4.20%,14.00%,2.7,-0.156,2.08%
,,,,,,,,,,,,
28/02/2017,21,16,1.9,0.82,4533,4.70%,6.10%,4.20%,17.10%,2.5,-0.166,2.10%
,,,,,,,,,,,,
31/01/2017,21,16,1.9,0.76,4360,4.90%,6.30%,4.40%,26.40%,2.1,-0.219,2.14%
,,,,,,,,,,,,
30/12/2016,20,17,1.9,0.81,4279,4.90%,5.90%,4.00%,21.80%,1.7,-0.025,1.95%
,,,,,,,,,,,,
30/11/2016,21,17,1.8,0.77,4196,4.90%,6.00%,4.20%,22.90%,1.6,0.004,1.84%
,,,,,,,,,,,,
31/10/2016,20,16,1.3,0.64,4046,5.00%,6.30%,4.90%,23.60%,1.5,-0.33,1.64%
,,,,,,,,,,,,
30/09/2016,20,16,1.1,0.59,4121,4.90%,6.10%,4.90%,18.60%,1.1,-0.358,1.51%
,,,,,,,,,,,,
31/08/2016,21,16,1.2,0.59,4120,4.90%,6.10%,4.90%,16.20%,0.8,-0.088,1.29%
,,,,,,,,,,,,
29/07/2016,21,16,1,0.49,4115,4.90%,6.10%,5.10%,16.00%,1,-0.31,1.34%
,,,,,,,,,,,,
30/06/2016,20,16,1,0.43,3968,5.00%,6.30%,5.30%,17.90%,1,-0.407,1.41%
,,,,,,,,,,,,
31/05/2016,20,16,1.4,0.67,3958,5.10%,6.30%,5.00%,17.50%,1.1,-0.105,1.48%
,,,,,,,,,,,,
29/04/2016,20,16,1.3,0.55,3888,5.10%,6.40%,5.10%,17.90%,0.9,-0.304,1.60%
,,,,,,,,,,,,
31/03/2016,20,15,1.2,0.58,3873,5.10%,6.50%,5.30%,17.20%,1,-0.414,1.63%
,,,,,,,,,,,,
29/02/2016,18,14,1.2,0.6,3627,5.60%,7.00%,5.80%,25.00%,1.4,-0.106,1.32%
,,,,,,,,,,,,
29/01/2016,18,14,1.3,0.45,3632,5.60%,7.00%,5.70%,20.00%,0.7,0.042,1.29%
,,,,,,,,,,,,
31/12/2015,19,16,1.8,0.6,3822,5.30%,6.20%,4.50%,12.00%,0.5,0.397,1.36%
,,,,,,,,,,,,
30/11/2015,19,16,1.6,0.48,3883,5.30%,6.20%,4.50%,8.10%,0.2,0.295,1.35%
,,,,,,,,,,,,
30/10/2015,19,16,1.5,0.32,3871,5.30%,6.20%,4.70%,4.50%,0,0.268,1.25%
,,,,,,,,,,,,
30/09/2015,17,15,1.4,0.31,3570,5.80%,6.70%,5.40%,15.40%,0.2,0.22,1.13%
,,,,,,,,,,,,
31/08/2015,18,15,1.5,0.38,3661,5.70%,6.60%,5.10%,12.60%,0.2,0.215,1.33%
,,,,,,,,,,,,
31/07/2015,19,16,1.5,0.31,3896,5.30%,6.20%,4.70%,5.60%,0.1,0.101,1.43%
,,,,,,,,,,,,
30/06/2015,18,16,1.6,0.26,3816,5.40%,6.40%,4.70%,4.00%,0,-0.044,1.69%
,,,,,,,,,,,,
29/05/2015,19,16,1.5,0.24,3891,5.30%,6.30%,4.80%,1.70%,-0.2,-0.124,1.61%
,,,,,,,,,,,,
30/04/2015,19,16,1.4,0.22,3842,5.40%,6.30%,4.90%,1.20%,-0.1,-0.309,1.74%
,,,,,,,,,,,,
31/03/2015,18,16,1.4,0.23,3805,5.50%,6.40%,5.10%,1.80%,0,-0.37,1.75%
,,,,,,,,,,,,
27/02/2015,19,16,1.5,0.19,3866,5.40%,6.30%,4.80%,-6.20%,-0.1,-0.28,1.78%
,,,,,,,,,,,,
30/01/2015,18,15,1.2,0.14,3656,5.60%,6.70%,5.60%,-0.70%,0.8,-0.348,1.51%
,,,,,,,,,,,,
31/12/2014,18,16,1.7,0.21,3769,5.40%,6.20%,4.50%,1.40%,1.3,0.332,1.32%
,,,,,,,,,,,,
28/11/2014,18,16,1.5,0.12,3779,5.40%,6.30%,4.80%,2.70%,1.7,-0.038,1.52%
,,,,,,,,,,,,
31/10/2014,18,15,1.6,0.09,3680,5.60%,6.50%,4.90%,5.20%,1.7,-0.053,1.66%
,,,,,,,,,,,,
30/09/2014,18,15,1.8,0.1,3592,5.70%,6.70%,4.90%,-0.60%,1.7,0.045,1.71%
,,,,,,,,,,,,
29/08/2014,18,15,1.6,0.08,3643,5.50%,6.60%,5.00%,0.50%,2,-0.273,1.90%
,,,,,,,,,,,,
31/07/2014,18,15,1.8,0.11,3503,5.70%,6.90%,5.10%,11.20%,2.1,-0.325,2.08%
,,,,,,,,,,,,
30/06/2014,18,15,1.6,0.1,3552,5.60%,6.70%,5.10%,7.40%,2.1,-0.484,2.12%
,,,,,,,,,,,,
30/05/2014,18,15,1.5,0.09,3480,5.60%,6.80%,5.30%,11.80%,2,-0.457,2.01%
,,,,,,,,,,,,
30/04/2014,18,14,1.7,0.1,3400,5.70%,6.90%,5.30%,13.00%,1.5,-0.305,1.99%
,,,,,,,,,,,,
31/03/2014,17,14,1.7,0.11,3376,5.70%,7.00%,5.20%,12.70%,1.1,-0.466,2.19%
,,,,,,,,,,,,
28/02/2014,17,14,1.5,0.1,3347,5.70%,7.00%,5.50%,15.50%,1.6,-0.742,2.26%
,,,,,,,,,,,,
31/01/2014,17,14,1.5,0.08,3201,6.00%,7.30%,5.80%,14.20%,1.5,-0.663,2.17%
,,,,,,,,,,,,
31/12/2013,17,15,1.7,0.11,3316,5.80%,6.60%,4.80%,13.70%,1.2,-0.353,2.10%
,,,,,,,,,,,,
29/11/2013,17,15,1.4,0.12,3234,5.80%,6.70%,5.40%,16.90%,1,-0.592,1.97%
,,,,,,,,,,,,
