date,PE_RATIO,EST_PE_NEXT_YR_AGGTE,5Y GENERIC,1Y GENERIC,S&P 500 TR,PE Yield,Fwd PE Yield,FWD PE - 5Y,S&P 500 1 YEAR GAIN,S&P 500 FORWARD 1 YEAR GAIN,אינפלציה 1Y ידועה,GENERIC INFLATION INDEXED 5Y GOV BOND,EXPECTED INFLATION 5Y
31/08/2024,25.7022,20.369,3.7027,4.4023,12344.43,3.890717526,4.909421179,1.206721179,27.13529179,,2.9,1.695,1.974236688
31/07/2024,25.7642,19.9031,3.9132,4.7447,12052.09,3.881354748,5.024342942,1.111142942,22.14828156,,2.9,1.786,2.089874835
30/06/2024,25.5832,19.6815,4.3765,5.11,11907.15,3.90881516,5.080913548,0.704413548,24.55607777,,3,2.112,2.217662958
31/05/2024,24.6895,19.1033,4.507,5.1754,11494.7,4.050304785,5.23469767,0.72769767,28.18662765,,3.4,2.166,2.291368949
30/04/2024,24.0738,18.266,4.7154,5.2354,10951.66,4.153893444,5.47465236,0.75925236,22.66163401,,3.5,2.292,2.369100223
31/03/2024,25.1382,19.1922,4.2125,5.0238,11418.03,3.978009563,5.210450079,0.997950079,29.88125531,,3.2,1.817,2.352750523
29/02/2024,24.3555,18.7146,4.2447,4.9981,11062.11,4.105848782,5.343421714,1.098721714,30.45248709,,3.1,1.846,2.355222591
31/01/2024,23.31,20.0589,3.8354,4.7069,10501.38,4.29000429,4.985318238,1.149918238,20.81828097,,3.1,1.593,2.207238688
29/12/2023,22.9453,19.6081,3.8471,4.7622,10327.83,4.358191002,5.099933191,1.252833191,26.28765887,,3.4,1.711,2.100166157
30/11/2023,21.921,18.7221,4.2663,5.1172,9879.02,4.561835683,5.34128116,1.07498116,13.83982484,,3.1,2.117,2.104742599
31/10/2023,20.5399,17.1677,4.8536,5.45,9052.31,4.868572875,5.824892094,0.971292094,10.14284498,,3.2,2.473,2.323148537
29/09/2023,21.0015,17.4623,4.609,5.4484,9246.74,4.76156465,5.726622495,1.117622495,21.6173844,,3.7,2.397,2.160219538
31/08/2023,22.0812,18.3675,4.2541,5.3844,9709.68,4.52873938,5.444399074,1.190299074,15.9445072,27.13529179,3.7,2.135,2.074802957
31/07/2023,22.0325,18.9588,4.1774,5.3779,9866.77,4.538749574,5.274595439,1.097195439,13.01546539,22.14828156,3.2,1.907,2.227913686
30/06/2023,21.3668,18.436,4.1556,5.3922,9559.67,4.680158002,5.424170102,1.268570102,19.59409165,24.55607777,3,1.994,2.119340353
31/05/2023,20.0577,17.3041,3.7547,5.1726,8967.16,4.985616496,5.778977237,2.024277237,2.921745518,28.18662765,4,1.693,2.027376516
28/04/2023,19.9145,17.2863,3.4828,4.7404,8928.35,5.02146677,5.784927949,2.302127949,2.664244278,22.66163401,4.9,1.248,2.207253477
31/03/2023,19.6271,17.0189,3.5733,4.591,8791.13,5.094996204,5.875820411,2.302520411,-7.728502665,29.88125531,5,1.172,2.373482782
28/02/2023,18.9142,16.3691,4.1818,4.9773,8479.8,5.287033023,6.10907136,1.92727136,-7.691503826,30.45248709,6,1.666,2.474573604
31/01/2023,19.3707,18.2697,3.6171,4.6538,8691.88,5.16243605,5.473543627,1.856443627,-8.215908899,20.81828097,6.4,1.333,2.254053467
30/12/2022,18.2432,16.8213,4.0039,4.6868,8178.02,5.481494475,5.94484374,1.94094374,-18.11088748,26.28765887,6.5,1.651,2.314684558
30/11/2022,19.3312,17.8314,3.7367,4.6863,8678,5.172984605,5.608084615,1.871384615,-9.210081677,13.83982484,7.1,1.304,2.401385928
31/10/2022,18.5151,16.7154,4.2283,4.6019,8218.7,5.400997024,5.982507149,1.754207149,-14.61108652,10.14284498,7.7,1.575,2.612158504
30/09/2022,17.1449,14.9915,4.09,3.9328,7603.14,5.832638277,6.670446586,2.580446586,-15.47211009,21.6173844,8.2,1.989,2.060026081
31/08/2022,18.9024,16.4584,3.3508,3.4828,8374.42,5.290333503,6.075924756,2.725124756,-11.22755094,15.9445072,8.3,0.766,2.565150944
29/07/2022,20.1633,16.8712,2.676,2.887,8730.46,4.959505636,5.927260657,3.251260657,-4.639434814,13.01546539,8.5,-0.108,2.787009971
30/06/2022,18.4686,15.2319,3.0379,2.7424,7993.43,5.414595584,6.565169152,3.527269152,-10.6158264,19.59409165,9.1,0.435,2.591626425
31/05/2022,20.7029,16.6113,2.8173,2.0501,8712.6,4.830241174,6.019998435,3.202698435,-0.299470063,2.921745518,8.6,-0.124,2.94495174
29/04/2022,20.703,16.6288,2.9549,2.0581,8696.65,4.830217843,6.013663042,3.058763042,0.213063599,2.664244278,8.3,-0.391,3.359033822
31/03/2022,22.8742,18.3304,2.4599,1.595,9527.46,4.371737591,5.455418321,2.995518321,15.64584729,-7.728502665,8.5,-0.909,3.39980422
